source,author,title,description,url,urlToImage,publishedAt,content,company,ticker
"{'id': 'wired', 'name': 'Wired'}",Lauren Goode,"Microsoft Duo: Price, Details, Release Date",Microsoft has had to shift its sales pitch from a “work” product to “staying home indefinitely” device.,https://www.wired.com/story/microsoft-surface-duo-price-release-date/,"https://media.wired.com/photos/5f32e4cd37e06d513ea90690/191:100/w_1280,c_limit/Gear-Duo-Hero_01.jpg",2020-08-12T13:00:00Z,"The context of these kinds of devices has changed, says Ben Arnold, consumer technology analyst at the NPD Group, which tracks US sales of electronics. Its not the one-handed emailer on the subway an… [+2086 chars]",Microsoft,MSFT
"{'id': 'the-verge', 'name': 'The Verge'}",Tom Warren,Microsoft signals renewed interest in Windows with latest reshuffle,"Microsoft is reorganizing its Windows team again. Windows and Devices chief Panos Panay is taking on even more responsibility of Windows, during a period where Microsoft has shown a renewed focus on the operating system.",https://www.theverge.com/2020/8/7/21358339/microsoft-windows-reorg-2020-panos-panay-windows-development,https://cdn.vox-cdn.com/thumbor/mVAxlnHn2eNdvpobJ2DaVuYMy78=/0x74:1020x608/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16292558/windowslogo_1.jpg,2020-08-07T09:51:57Z,"Panos Panay gets even more Windows responsibility
Photo by Dante DOrazio / The Verge
Microsoft is making some significant changes to the way it runs its Windows organization this week, signaling a … [+3702 chars]",Microsoft,MSFT
"{'id': 'the-verge', 'name': 'The Verge'}",Tom Warren,Microsoft launches new Family Safety app for iOS and Android,"Microsoft is launching a new Family Safety app for iOS and Android. It’s designed for families to manage screentime and app usage. Microsoft Family Safety includes content filters, location sharing, and more.",https://www.theverge.com/2020/7/28/21344757/microsoft-family-safety-app-ios-android-download-features,https://cdn.vox-cdn.com/thumbor/waLvIqsHITaZGFKMYF3vdEU8vww=/0x50:2560x1390/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/20537474/7uVir4Q.jpg,2020-07-28T16:00:00Z,"Content filters, location sharing, and much more
Microsoft is launching a new Family Safety app for iOS and Android today. The software giant has been testing the app in recent months, and its desig… [+1932 chars]",Microsoft,MSFT
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Anthony Ha,Daily Crunch: Microsoft-TikTok acquisition inches closer to reality,"A possible Microsoft -TikTok acquisition is causing plenty of drama, we review Google’s new budget Pixel and SpaceX’s Crew Dragon returns to Earth. Here’s your Daily Crunch for August 3, 2020. Microsoft-TikTok acquisition inches closer to reality This weekend…",http://techcrunch.com/2020/08/03/daily-crunch-microsoft-tiktok-acquisition-inches-closer-to-reality/,https://techcrunch.com/wp-content/uploads/2020/07/GettyImages-1183804986.jpg?w=600,2020-08-03T22:19:37Z,"A possible Microsoft -TikTok acquisition is causing plenty of drama, we review Google’s new budget Pixel and SpaceX’s Crew Dragon returns to Earth. Here’s your Daily Crunch for August 3, 2020.
Micro… [+3796 chars]",Microsoft,MSFT
"{'id': 'engadget', 'name': 'Engadget'}",Jon Fingas,Microsoft stops offering 12-month Xbox Live Gold memberships,Microsoft hasn’t just discontinued most of its outgoing Xbox One consoles — it also scrapped one of the staples of online Xbox gaming. The company confirmed to TrueAchievements (via IGN) that it stopped selling 12-month Xbox Live Gold memberships. You can sti…,https://www.engadget.com/microsoft-ends-12-month-xbox-live-gold-memberships-192821957.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-images%2F2020-07%2F33d5a4e0-c9e3-11ea-ab76-db002153837a&client=amp-blogside-v2&signature=ed58fafaf3f11ff2dbc69b060f9e294eaffda610,2020-07-19T19:28:21Z,Microsoft hasn’t just discontinued most of its outgoing Xbox One consoles — it also scrapped one of the staples of online Xbox gaming. The company confirmed to TrueAchievements (via IGN) that it stop… [+337 chars],Microsoft,MSFT
"{'id': 'engadget', 'name': 'Engadget'}",Mariella Moon,Microsoft outlines its plan to become carbon negative by 2030,Microsoft has revealed how it plans to fulfill its pledge to become a carbon negative company by 2030. The tech giant first announced that it intends implement aggressive measures to remove more carbon from the atmosphere than it creates back in January. It a…,https://www.engadget.com/microsoft-carbon-negative-2030-steps-093047774.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-images%2F2020-03%2Fb7748150-7299-11ea-bfbe-dc5ee1ecd17b&client=amp-blogside-v2&signature=ca88259422e1984494284fd8cc061f21099b48a1,2020-07-22T09:30:47Z,"The company has also started to work on removing its historical emissions, starting by taking concrete steps to remove 1 million metric tons of carbon from the environment this fiscal year. It promis… [+937 chars]",Microsoft,MSFT
"{'id': 'engadget', 'name': 'Engadget'}",Jon Fingas,Scientists rename genes because Microsoft Excel reads them as dates,"Microsoft Excel’s automatic formatting is normally helpful for finishing spreadsheets quickly, but it’s proving to be an agent of chaos for geneticists. The Verge has learned that the HUGO Gene Nomenclature Committee has issued guidelines for naming human gen…",https://www.engadget.com/scientists-rename-genes-due-to-excel-151748790.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-images%2F2019-03%2F007506d0-514a-11e9-bbee-0ca9f6b292a8&client=amp-blogside-v2&signature=e8df775a05ee59bbddf0ac87b64b2d1c14b8d236,2020-08-06T15:17:48Z,"There will still be a library of discarded names and symbols to help reduce confusion going forward.
The scientific community has changed gene names before, but usually to minimize false positives i… [+603 chars]",Microsoft,MSFT
"{'id': 'engadget', 'name': 'Engadget'}",Richard Lawler,Microsoft confirms free 'Halo Infinite' multiplayer running at 120FPS,"After a leak from an Irish retailer gave up the goods, Microsoft has confirmed the news — Halo Infinite will include a free-to-play multiplayer mode, and it’s running at 120FPS. This news wasn’t revealed during last week’s Xbox Series X gameplay showcase that…",https://www.engadget.com/halo-infinite-120fps-205131835.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-07%2F55c22980-d36f-11ea-bb7d-bc8b10437fc7&client=amp-blogside-v2&signature=eb1a1a8b304858d49db46d21873b5c600eb89571,2020-07-31T20:51:31Z,"After a leak from an Irish retailer gave up the goods, Microsoft has confirmed the news — Halo Infinite will include a free-to-play multiplayer mode, and it’s running at 120FPS. This news wasn’t reve… [+548 chars]",Microsoft,MSFT
"{'id': 'engadget', 'name': 'Engadget'}",Cherlynn Low,Android-plus-Windows could be just what dual-screen devices need,"Dual-screen devices have always been held back by their software. From the Kyocera Echo and the Samsung Henessy, to the ZTE Axon M and Lenovo’s Yoga Book, companies have come close to delivering a physical design that might work. But in the real-world, these …",https://www.engadget.com/microsoft-surface-duo-google-partnership-android-os-dual-screens-130039023.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2Fe2a69800-dc29-11ea-be6a-6672707cb785&client=amp-blogside-v2&signature=0760a2ac0117f91329e4f92810845357bb7079f8,2020-08-12T13:01:15Z,"These features aren’t new, but Microsoft offers some fresh tweaks, like a keyboard that appears only on the screen where you tapped the input field and is aligned to the respective bezel, making the … [+2883 chars]",Microsoft,MSFT
"{'id': 'engadget', 'name': 'Engadget'}",Nicole Lee,Trump says TikTok has until September 15th to sell US operations or close,"According to the New York Times, President Donald Trump said at a White House briefing that TikTok must sell its US operations by September 15th, or be forced to shut down. He is open, however, to a Microsoft takeover of the outfit. He also wanted the US Trea…",https://www.engadget.com/trump-tiktok-us-microsoft-190552645.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2Fdeb4b6c0-d5ba-11ea-bfbb-f2f30abff60d&client=amp-blogside-v2&signature=1e62a12995cddfb69ac825cb8d41f2aaa5e005bc,2020-08-03T19:05:52Z,"“[Microsoft] is committed to acquiring TikTok subject to a complete security review and providing proper economic benefits to the United States, including the United States Treasury,” the company sai… [+1545 chars]",Microsoft,MSFT
